id,category,text,dots_wer_pct,cosy_wer_pct,dots_cer_pct,cosy_cer_pct,dots_sim,cosy_sim,dots_rtf,cosy_rtf,wer_winner,sim_winner,rtf_winner
anime_short_01_alhaitham,short_anime,相当于把许多大脑连接在一起，为不同的人适配不同的思考内容。,0.00,0.00,0.00,0.00,0.8025,0.8284,1.5498,0.4897,tie,CosyVoice3,CosyVoice3
anime_short_02_alhaitham,short_anime,这些人没资格成为你谈判的筹码，但我可以勉为其难当一下人质。,0.00,0.00,0.00,0.00,0.8306,0.8008,1.5381,0.4972,tie,dots.tts-mf,CosyVoice3
anime_short_03_alhaitham,short_anime,经过调查，你的举报内容属实，你的导师也被风纪官绳之以法。,8.00,4.00,8.00,4.00,0.8451,0.8477,1.5414,0.4823,CosyVoice3,CosyVoice3,CosyVoice3
anime_short_04_arataki_itto,short_anime,就算他们一开始没办法理解，我也一定会让他们体验到试胆大会的乐趣！,0.00,0.00,0.00,0.00,0.7321,0.5738,1.5381,0.5402,tie,dots.tts-mf,CosyVoice3
anime_short_05_arataki_itto,short_anime,那三个家伙绝对不是社奉行的人，不过本大爷倒是确实觉得有点眼熟…,6.90,13.79,6.90,13.79,0.8026,0.7555,1.5365,0.5001,dots.tts-mf,dots.tts-mf,CosyVoice3
anime_short_06_arataki_itto,short_anime,上一轮我太沉迷于吓人了，结果反而被那三个装神弄鬼的家伙吓了一跳。,0.00,0.00,0.00,0.00,0.7651,0.7090,1.5356,0.5164,tie,dots.tts-mf,CosyVoice3
anime_short_07_beidou,short_anime,过去连暴风雨都没法让「南十字船队」耽搁，这次我可是给足了你们面子啊。,3.33,0.00,3.33,0.00,0.8529,0.8290,1.5316,0.4860,CosyVoice3,dots.tts-mf,CosyVoice3
anime_short_08_beidou,short_anime,那之后我才明白，这星星原来是代表死亡预兆的「死兆星」。,0.00,4.35,0.00,4.35,0.8369,0.8176,1.5322,0.5340,dots.tts-mf,dots.tts-mf,CosyVoice3
anime_short_09_beidou,short_anime,别忘了，与其请求强者同行，倒不如让自己成为引力的中心更好！,0.00,0.00,0.00,0.00,0.7961,0.8022,1.5234,0.4990,tie,CosyVoice3,CosyVoice3
anime_short_10_dehya,short_anime,小姐很期待能在花神诞日再见到你们，你们可要在那之前赶回来啊。,3.57,3.57,3.57,3.57,0.8047,0.7743,1.5315,0.5122,tie,dots.tts-mf,CosyVoice3
